title,description,genre,imageUrl,total_copies,authors
The Hobbit,"The Hobbit, or There and Back Again is a children's fantasy novel by the English author J. R. R. Tolkien...",SFF,https://images.thenile.io/r1000/9780261103283.jpg,3,J.R.R. Tolkien
The Lord of the Rings,The Lord of the Rings is an epic high fantasy novel by the English author and scholar J. R. R. Tolkien...,SFF,https://www.bibdsl.co.uk/imagegallery/bookdata/cd427/9780261103252.JPG,4,J.R.R. Tolkien
The Final Empire,"Mistborn: The Final Empire, also known simply as Mistborn or The Final Empire...",SFF,https://upload.wikimedia.org/wikipedia/en/4/44/Mistborn-cover.jpg,2,Brandon Sanderson
The Well of Ascension,"Mistborn: The Well of Ascension is a fantasy novel written by American author Brandon Sanderson. It was published on August 21, 2007, by Tor Books and is the second novel in the Mistborn trilogy. It is preceded by The Final Empire in 2006 and followed by The Hero of Ages in 2008.",SFF,https://upload.wikimedia.org/wikipedia/en/7/7b/Mistborn-_The_Well_of_Ascension_by_Brandon_Sanderson.jpg,2,Brandon Sanderson
The Hero of Ages,"Mistborn: The Hero of Ages is an epic fantasy novel written by American author Brandon Sanderson. It was published on October 14, 2008, by Tor Books and is the third and final novel in the Mistborn trilogy. It is preceded by The Well of Ascension in 2007 and followed by The Alloy of Law in the Mistborn: Era 2 series, Wax and Wayne in 2011.",SFF,https://upload.wikimedia.org/wikipedia/en/b/bb/The_Hero_of_Ages_-_Book_Three_of_Mistborn.png,2,Brandon Sanderson
The Name of the Wind,"The Name of the Wind, also referred to as The Kingkiller Chronicle: Day One, is a heroic fantasy novel written by American author Patrick Rothfuss. It is the first book in the ongoing fantasy trilogy The Kingkiller Chronicle, followed by The Wise Man's Fear. It was published on March 27, 2007, by DAW Books.",SFF,https://upload.wikimedia.org/wikipedia/en/5/56/TheNameoftheWind_cover.jpg,3,Patrick Rothfuss
The Wise Man's Fear,"The Wise Man's Fear is a fantasy novel written by American author Patrick Rothfuss and the second volume in The Kingkiller Chronicle. It was published on March 1, 2011, by DAW Books. It is the sequel to 2007's The Name of the Wind.",SFF,https://upload.wikimedia.org/wikipedia/en/7/7b/The_Wise_Man%27s_Fear.jpg,2,Patrick Rothfuss
The Doors of Stone,"Book 3 in The Kingkiller Chronicle series, titled The Doors of Stone, is coming, it is just a matter of when. Written by American author Patrick Rothfuss, the Kingkiller novels take readers on an adventure in an original fantasy world, following an adventurer and musician named Kvothe. The first two books (The Name of the Wind and The Wise Man's Fear) were released in 2007 and 2011, respectively. It has been more than a decade since the last book in the series hit store shelves.",SFF,https://images.thedirect.com/media/photos/doors_of_stone.jpg,0,Patrick Rothfuss
The Final Name of the Rings,A fantasy fantasy book written by three famous fantasy authors,SFF,https://thebookcoverdesigner.com/wp-content/uploads/2015/02/fantasy_cover.bmp,5,"Brandon Sanderson, Patrick Rothfuss"
Paper Towns,"Paper Towns is a novel written by John Green, published on October 16, 2008, by Dutton Books. The novel is about the coming-of-age of the protagonist, Quentin 'Q' Jacobsen and his search for Margo Roth Spiegelman, his neighbor and childhood crush. During his search, Quentin and his friends Ben, Radar, and Lacey discover information about Margo.",YA,https://upload.wikimedia.org/wikipedia/en/0/08/Paper_Towns_%28Dutton_Books%29_primary_cover.jpg,2,John Green
Looking for Alaska,"Looking for Alaska is a 2005 young adult novel by American author John Green. Based on his time at the private Indian Springs School, Green wrote the novel in order to create meaningful young adult fiction. While he drew from people and events in his life, the novel is fictional.",YA,https://upload.wikimedia.org/wikipedia/en/3/3e/Looking_for_Alaska_original_cover.jpg,2,John Green
The Fault in Our Stars,"The Fault in Our Stars is a novel by John Green. It is his fourth solo novel, and sixth novel overall. It was published on January 10, 2012. The title is inspired by Act 1, Scene 2 of Shakespeare's play Julius Caesar, in which the nobleman Cassius says to Brutus: 'Men at some time were masters of their fates, / The fault, dear Brutus, is not in our stars, / But in ourselves, that we are underlings.' Author John Green was inspired to write the book after working as a student chaplain in a children's hospital, and it is dedicated to his friend Esther Earl, who died of thyroid cancer in 2010, age 16. The story is narrated by Hazel Grace Lancaster, a 16-year-old girl with thyroid cancer that has affected her lungs. Hazel is forced by her parents to attend a support group where she subsequently meets and falls in love with 17-year-old Augustus Waters, an ex-basketball player, amputee, and survivor of osteosarcoma.",YA,https://upload.wikimedia.org/wikipedia/en/a/a9/The_Fault_in_Our_Stars.jpg,2,John Green
Turtles All the Way Down,"""Turtles All the Way Down is a young adult drama novel written by American author John Green published on October 10, 2017, by Dutton Books. It is Green's fifth solo novel and his seventh overall. The novel debuted at number 1 on The New York Times Best Seller list in the category of 'Young Adult Hardcover Books' and stayed at the top for 15 weeks and remained on the list for 62 weeks.""",YA,https://upload.wikimedia.org/wikipedia/en/1/17/John_Green_Turtles_All_The_Way_Down_Book_Cover.jpg,2,John Green
Bobbi naar de bruiloft,"Bobbi gaat iets heel speciaals doen: naar een echte bruiloft. Dat is spannend en vooral heel erg leuk. Een lief, mooi en herkenbaar boek voor de jongste bruiloftgasten.",Child,https://www.bobbi.nl/wp-content/uploads/2025/05/Bobbi-bruiloft-CVRvoorPR-rgb-1400px-768x850.jpg,2,Monica Maas
Bobbi kleedt zich aan,"Bobbi mag voor het eerst zijn eigen kleren uitzoeken. Wat zal hij kiezen? Een T-shirt of toch een trui? Een korte of een lange broek? Wat voor weer wordt het? Er komt nog een hoop bij kijken! ‘Of wil jij jezelf aankleden? Je bent al groot, dat kun je vast.’ Bobbi lacht: ‘Dat kan ik wel, hoor.’ En hij loopt vlug naar zijn kast.",Child,https://www.bobbi.nl/wp-content/uploads/2024/01/Bobbi-kleedtzichaan-CVRvoorPR-rgb-1400px-768x850.jpg,2,Monica Maas
Bobbi is boos,"Bobbi heeft er helemaal geen zin in vandaag. Alles gaat mis en hij krijgt niet wat hij wil. Gelukkig leert Bobbi dat zulke buien vanzelf weer overgaan. Bobbi wil vandaag niet eten. Hij heeft geen trek in brood of thee. Hij wil ook geen chocopasta. Bobbi zegt alleen maar: ‘Nee!’",Child,https://www.bobbi.nl/wp-content/uploads/2025/01/Bobbi-boos-CVRvoorPR-rgb-1400px-768x850.jpg,2,Monica Maas